County,Town,Lan Site Name,Longitude_DMS,Latitude_DMS,Longitude_DD,Latitude_DD
Baringo ,Kabarnet,TKL,"  0°29'35.37""N"," 35°44'39.36""E",0.4932,35.74426667
Baringo ,Kabarnet,County Commissioner,"  0°29'29.36""N"," 35°44'40.64""E",0.4915,35.74462222
Baringo ,Kabarnet,KNA,"  0°29'32.22""N"," 35°44'39.96""E",0.4923,35.74443333
Baringo ,Kabarnet,Governor,"  0°29'28.30""N"," 35°44'37.87""E",0.4912,35.74385278
Busia ,Busia ,TKL,"  0°27'39.21""N"," 34° 6'27.20""E",0.4609,34.10755556
Busia ,Busia ,county commissioner ,"  0°27'48.38""N"," 34° 6'21.39""E",0.4634,34.10594167
Busia ,Busia ,KNA,"  0°27'55.99""N"," 34° 6'5.04""E",0.4656,34.1014
Busia ,Busia ,Education ,"  0°27'49.70""N"," 34° 6'22.28""E",0.4638,34.10618889
Elgeyo Marakwet,Iten,TKL,"  0°39'33.05""N"," 35°30'15.28""E",0.6592,35.50424444
Elgeyo Marakwet,Iten,County Commissioner,"  0°40'18.00""N"," 35°30'32.46""E",0.6717,35.50901667
Elgeyo Marakwet,Iten,Hospital,"  0°40'33.14""N"," 35°30'23.98""E",0.6759,35.50666111
Elgeyo Marakwet,Iten,public Works,"  0°39'39.62""N"," 35°29'56.78""E",0.6610,35.49910556
Embu,Embu,TKL,"  0°32'4.51""S"," 37°27'1.09""E",-0.5346,37.45030278
Embu,Embu,county commissioner ,"  0°31'43.07""S ","37°27'9.15""E",-0.5286,37.45254167
Embu,Embu,KNA,"  0°31'55.32""S"," 37°26'59.68""E",-0.5320,37.44991111
Embu,Embu,Main Prison,"  0°33'5.12""S"," 37°27'59.06""E",-0.5514,37.46640556
Garissa,Garissa,TKL,"  0°27'14.47""S"," 39°38'34.33""E",-0.4540,39.64286944
Garissa,Garissa,County commissioner ,"  0°27'34.29""S"," 39°38'18.43""E",-0.4595,39.63845278
Garissa,Garissa,Police station,"  0°27'33.15""S"," 39°38'16.20""E",-0.4592,39.63783333
Garissa,Garissa,county Assembly ,"  0°27'14.91""S"," 39°38'30.70""E",-0.4541,39.64186111
Kilifi,Kilifi,TKL,"  3°38'1.68""S"," 39°51'5.93""E",-3.6338,39.85164722
Kilifi,Kilifi,National treasury,"  3°38'1.52""S"," 39°51'21.88""E",-3.6338,39.85607778
Kilifi,Kilifi,KNA,"  3°38'2.36""S"," 39°51'25.33""E",-3.6340,39.85703611
Kilifi,Kilifi,Police HQ,"  3°37'59.14""S"," 39°51'15.13""E",-3.6331,39.85420278
Kisii,Kisii,TKL,"  0°40'38.25""S"," 34°46'19.90""E",-0.6773,34.77219444
Kisii,Kisii,county commissioner,"  0°40'43.74""S"," 34°46'18.72""E",-0.6788,34.77186667
Kisii,Kisii,KNA,"  0°40'37.11""S"," 34°46'15.62""E",-0.6770,34.77100556
Kisii,Kisii,Lands,"  0°40'44.07""S"," 34°46'21.40""E",-0.6789,34.77261111
Lamu,Lamu,TKL,"  2°16'35.82""S"," 40°54'16.72""E",-2.2766,40.90464444
Lamu,Lamu,KPA,"  2°16'9.57""S"," 40°54'10.10""E",-2.2693,40.90280556
Lamu,Lamu,county commissioner,"  2°16'9.09""S"," 40°54'9.72""E",-2.2692,40.9027
Lamu,Lamu,Lamu district hospital,"  2°16'43.20""S"," 40°54'23.15""E",-2.2787,40.90643056
Meru,Meru,TKL,"  0° 2'52.89""N"," 37°39'3.28""E",0.0480,37.65091111
Meru,Meru,County commissioner ,"  0° 2'52.85""N"," 37°38'57.32""E",0.0480,37.64925556
Meru,Meru,Police ,"  0° 3'0.32""N"," 37°38'46.42""E",0.0501,37.64622778
Meru,Meru,Mens Prison,"  0° 3'10.96""N"," 37°38'43.87""E",0.0530,37.64551944
Mombasa,Mombasa,TKL,"  4° 3'46.74""S"," 39°40'13.33""E",-4.0630,39.67036944
Mombasa,Mombasa,County commissioner ,"  4° 3'54.94""S"," 39°40'46.11""E",-4.0653,39.679475
Mombasa,Mombasa,Bima House,"  4° 3'42.06""S"," 39°40'18.99""E",-4.0617,39.67194167
Mombasa,Mombasa,KNA/KBC,"  4° 3'45.77""S"," 39°40'8.39""E",-4.0627,39.66899722
Nandi,Kabsabet,TKL,"  0°11'59.56""N"," 35° 5'48.25""E",0.1999,35.09673611
Nandi,Kabsabet,county Commissioner,"  0°12'10.73""N"," 35° 6'24.70""E",0.2030,35.10686111
Nandi,Kabsabet,Hospital,"  0°12'8.22""N"," 35° 6'11.65""E",0.2023,35.10323611
Nandi,Kabsabet,Police,"  0°12'11.32""N"," 35° 6'8.81""E",0.2031,35.10244722
Narok ,Narok ,TKL,"  1° 5'9.05""S"," 35°51'59.53""E",-1.0858,35.86653611
Narok ,Narok ,County Commissioner,"  1° 5'12.83""S"," 35°51'58.87""E",-1.0869,35.86635278
Narok ,Narok ,KNA,"  1° 5'14.46""S"," 35°52'1.78""E",-1.0874,35.86716111
Narok ,Narok ,Hospital,"  1° 5'4.72""S"," 35°52'2.19""E",-1.0846,35.867275
Nyamira,Nyamira,SFC,"  0°33'25.52""S"," 34°55'39.22""E",-0.5571,34.92756111
Nyamira,Nyamira,County Commissioner ,"  0°33'33.47""S"," 34°55'59.80""E",-0.5593,34.93327778
Nyamira,Nyamira,Assembly,"  0°33'30.28""S"," 34°55'48.77""E",-0.5584,34.93021389
Nyamira,Nyamira,KNA & M.O.I.C.T,"  0°33'34.39""S"," 34°55'58.39""E",-0.5596,34.93288611
Tana River,Hola,TKL,"  1°29'45.11""S"," 40° 1'37.82""E",-1.4959,40.02717222
Tana River,Hola,County Commissioner ,"  1°30'6.63""S"," 40° 0'57.74""E",-1.5018,40.01603889
Tana River,Hola,KNA,"  1°29'45.71""S"," 40° 1'50.92""E",-1.4960,40.03081111
Tana River,Hola,Prison,"  1°29'55.65""S"," 40° 2'4.55""E",-1.4988,40.03459722
Tharaka Nithi,Chuka,TKL,"  0°19'59.50""S"," 37°38'45.13""E",-0.3332,37.64586944
Tharaka Nithi,Chuka,County Commissioner ,"  0°19'57.91""S"," 37°38'43.55""E",-0.3328,37.64543056
Tharaka Nithi,Chuka,County Commander,"  0°19'53.98""S"," 37°38'58.31""E",-0.3317,37.64953056
Tharaka Nithi,Chuka, Education/KNA,"  0°19'53.30""S"," 37°38'47.09""E",-0.3315,37.64641389
Uasin Gishu ,Eldoret,TKL,"  0°30'59.77""N"," 35°16'31.20""E",0.5166,35.27533333
Uasin Gishu ,Eldoret,county commissioner,"  0°31'32.13""N"," 35°16'36.27""E",0.5256,35.27674167
Uasin Gishu ,Eldoret,KNA,"  0°31'27.47""N"," 35°16'39.61""E",0.5243,35.27766944
Uasin Gishu ,Eldoret,public Works(Kapsoya ),"  0°30'49.58""N"," 35°18'2.72""E",0.5138,35.30075556
Wajir ,Wajir ,TKL,"  1°44'53.91""N"," 40° 3'31.67""E",1.7483,40.05879722
Wajir ,Wajir ,county commissioner,"  1°45'4.38""N"," 40° 3'25.09""E",1.7512,40.05696944
Wajir ,Wajir ,KNA/Planning,"  1°45'7.69""N"," 40° 3'25.85""E",1.7521,40.05718056
Wajir ,Wajir ,Afya house,"  1°44'48.49""N"," 40° 3'43.22""E",1.7468,40.06200556
Bomet,Bomet,TKL,"  0°46'55.53""S"," 35°20'29.11""E",-0.7821,35.34141944
Bomet,Bomet,county commissioner,"  0°47'4.59""S"," 35°20'14.06""E",-0.7846,35.33723889
Bomet,Bomet, Kerra,"  0°47'8.10""S"," 35°20'39.05""E",-0.7856,35.34418056
Bomet,Bomet,county Assembly ,"  0°46'56.24""S"," 35°20'37.19""E",-0.7823,35.34366389
Bungoma,Bungoma,TKL,"  0°34'0.74""N"," 34°33'35.98""E",0.5669,34.55999444
Bungoma,Bungoma,county commissioner,"  0°34'21.02""N"," 34°33'33.97""E",0.5725,34.55943611
Bungoma,Bungoma,KNA,"  0°34'22.82""N"," 34°33'32.38""E",0.5730,34.55899444
Bungoma,Bungoma,Police,"  0°34'24.34""N"," 34°33'34.02""E",0.5734,34.55945
Homa Bay,Homa Bay,SFC,"  0°31'48.18""S"," 34°27'31.29""E",-0.5301,34.45869167
Homa Bay,Homa Bay,county commissioner,"  0°31'39.66""S"," 34°27'34.09""E",-0.5277,34.45946944
Homa Bay,Homa Bay,Ministry of Land ,"  0°31'24.68""S"," 34°27'31.78""E",-0.5235,34.45882778
Homa Bay,Homa Bay,Prison,"  0°31'52.95""S"," 34°27'57.34""E",-0.5314,34.46592778
Isiolo,Isiolo,TKL,"  0°21'19.78""N"," 37°35'9.75""E",0.3555,37.58604167
Isiolo,Isiolo,county commissioner,"  0°21'14.73""N"," 37°35'10.45""E",0.3541,37.58623611
Isiolo,Isiolo,Hospital,"  0°21'53.40""N"," 37°35'21.54""E",0.3648,37.58931667
Isiolo,Isiolo,KNA,"  0°21'17.98""N"," 37°35'8.96""E",0.3550,37.58582222
Kajiado,Kajiado,TKL,"  1°50'27.97""S"," 36°47'28.61""E",-1.8411,36.79128056
Kajiado,Kajiado,county commissioner,"  1°51'1.39""S"," 36°46'22.24""E",-1.8504,36.77284444
Kajiado,Kajiado,Probation,"  1°50'57.14""S"," 36°46'23.60""E",-1.8492,36.77322222
Kajiado,Kajiado,Prison,"  1°51'8.92""S"," 36°46'16.00""E",-1.8525,36.77111111
Kakamega,Kakamega,TKL,"  0°16'45.71""N"," 34°45'11.19""E",0.2794,34.75310833
Kakamega,Kakamega,county commissioner,"  0°16'36.57""N"," 34°45'26.48""E",0.2768,34.75735556
