CLASS_C,NOFBI
A109,TLK
A23,
A14,NOFBI II
A109,TLK
A3,Huawei
A2,Sagem (NOFBI)
A104,TLK
A1,ZTE (NOFBI)
A1,
A1,
A1,ZTE (NOFBI)
,
,
B8,Sagem (NOFBI)
B7,
B7,
B10,
B3,TLK
B3,ZTE (NOFBI)
B8,Sagem (NOFBI)
B6,NOFBI II
B5,
B4,
B2,ZTE (NOFBI)
B1,
B1,TLK
C104,
C105,
C111,
C103,
C115,
,
,
C108,
C106,
C107,
C112,Sagem (NOFBI)
C103,
C94,
C101,
C97,
C10,TLK
C103,
C60,
C100,
C99,
C98,
C59,
C64,
C63,
C62,
C63,
C58,
C12,
C11,
C13,
C57,
,
C81,
C82,
C91,NOFBI II
C92,
C93,
C33,
C83,
C76,Huawei
C51,
C79,
C78,
C77,
C69,
C68,
C67,
C75,Huawei
,Huawei
C73,Huawei
C73,Huawei
C72,
C70,Huawei
C70,
C66,
C33,
C41,
C39,
C29,
C38,
C27,
C86,
C87,
C85,
C40,ZTE (NOFBI)
C25,
C22,
C16,
C15,
C14,
C17,
C17,
C18,
C26,
C35,TLK
C34,TLK
C55,
C39,
C39,
C37,
C44,
C54,
C53,
C52,
C51,NOFBI II
C50,
C48,
C44,
C90,
C43,
C42,
C32,
,
C90,
C28,
C19,
C19,
C20,NOFBI II
C18,
C116,
C80,
C82,
C113,
C45,
C113,
C46,
C45,
C48,
C47,
D537,
D536,
D541,
D541,
D539,
D540,
D535,
D538,
D553,
D554,
D550,
D551,
D557,
D556,
,
D552,
D549,
D554,
D555,
,
D546,
D547,
,
D548,
,
,
,
D560,Sagem (NOFBI)
D565,
D568,
D566,
D359,
,
D514,NOFBI II
D513,
D530,
D502,
D507,
D506,
D508,
D505,
,
D503,
D507,
D509,
D510,
D11,
D512,
D525,
D515,
D522,
D516,
D517,
D518,Huawei
D527,
D528,
D519,
D519,
D527,
D520,
D416,
D397,
D399,
D401,
D405,
D404,
D404,
D409,
D407,
D409,
D400,
D408,
,
D378,
D410,
D411,
D523,
D523,
D526,
D324,
D529,
D524,
,
D201,
D301,
D295,
D302,
D371,
D586,
D468,
D475,
,
,
D480,
D482,
D476,
D483,
D474,
,
,
D473,
D472,
D471,
,
D469,
D478,
D479,
D587,
D484,
D482,
D486,NOFBI II
D485,
D490,
D464,
,
D449,
D434,
D433,
D431,
D432,
,
D429,
D428,
D427,
D440,
D421,
,
D420,
D418,
D440,
D422,
D417,
D389,
,
D391,
D393,
D390,
,
D385,
D383,
D482,
D381,
D366,
D365,
D370,
D372,
D368,
D387,
D388,
D387,
D387,
D466,
D463,
D462,
D447,
D445,
D558,
D444,
D448,
D450,
D451,
D452,
D457,
D453,
,
D456,
,
D459,
D467,
D458,
,
D455,
D426,
D425,
D424,
D415,
D414,
D413,
D395,
D379,
D398,
D402,
D394,
,
D321,
D320,
D322,
D323,
,
D331,
D326,
,
D232,
D231,
D230,
,
D216,
,
D217,
D217,
D218,
,
,
D283,
,
D285,
D285,
D285,
D275,
D274,
D280,
D279,
,
,
D243,
D264,
D263,
D262,
D260,
D266,
,
D269,
D299,
D292,
D268,
D267,
D267,NOFBI II
D298,NOFBI II
D305,
D305,
D291,
D292,
,
D272,
,
D290,
D293,
D293,
D293,
D311,
D311,NOFBI II
D332,
D312,
,
,
D312,
D282,
D300,
D297,
D289,
D304,
D304,
D288,
D330,
D284,
D283,
D340,
D329,
D328,
,
D296,
,
D325,
D314,TLK  Proposed
,
D350,
D364,
D350,
D365,
D365,
,
D317,
D318,
D315,
D316,
D319,
D236,
D235,
D234,
D233,
D226,
D222,
D221,
D220,
D225,
D224,
D220,
D237,
D223,
D209,
,
,
D206,
D223,
,
D215,
D215,
D212,
,
,
D204,
D203,
,
,
,
,
,
,
,
,
,
,
D244,
,
D276,
D256,
D258,
D261,
D256,
D259,
D242,
,
D254,
D253,
D250,
D251,
D248,
D247,
D246,
D249,
D246,
D246,
D245,
D213,
D211,
D210,
D214,
D570,
,
D371,
D371,
D347,
,
D343,
D341,
D346,
D345,
D344,
D342,
D327,
D501,
D504,
D347,
D348,
C94,
C94,
A14,
C106,Sagem (NOFBI)
,
,Sagem (NOFBI)
C106,
B8,TLK
C112,Sagem (NOFBI)
C112,
,Wireless
A3,
B7,Huawei
B7,Huawei
C99,
C99,NOFBI II
C101,NOFBI II
A104,Huawei
,Sagem (NOFBI)
,
C91,
B6,Huawei
B6,
C73,
A2,Huawei
C73,Huawei
B6,Huawei
A2,
A2,Huawei
A2,NOFBI II
,
D314,
B1,
C35,
C34,TLK
,
A1,ZTE (NOFBI)
A104,TLK
A104,
,
B3,
C24,
C23,
B1,NOFBI II
C33,
C37,
C51,
C77,
,NOFBI II
C77,NOFBI II
D521,
C98,
A23,NOFBI II
A23,NOFBI II
D538,NOFBI II
C77,NOFBI II
D298,
D504,NOFBI II
Fake road,NOFBI II
B3,ZTE (NOFBI)
