"","County","devices_expected","devices_delivered","schools_number","class_enrollment"
"1","",2618,1115,7,51150
"2","35.385189",NA,NA,1,NA
"3","675",NA,307,1,NA
"4","BARINGO",260852,128616,525,2480500
"5","BOMET",286622,145611,548,2824631
"6","BUNGOMA",325506,157108,656,3331586
"7","BUSIA",178772,89913,366,1799666
"8","ELEGEYO-MARAKWET",159523,78564,326,1683397
"9","EMBU",181974,96192,366,1896434
"10","GARISSA",44508,23566,87,377545
"11","HOMA BAY",419516,209688,865,4323545
"12","ISIOLO",41727,17589,76,378557
"13","KAJIADO",157011,81037,315,1578313
"14","KAKAMEGA",393490,198347,799,3881847
"15","KERICHO",209715,102039,424,2170531
"16","KIAMBU",240709,125609,492,2362558
"17","KILIFI",195912,97498,406,2094469
"18","KIRINYAGA",112085,55463,220,1129331
"19","KISII",366681,186464,708,3613981
"20","KISUMU",303002,147729,588,3033550
"21","KITUI",506715,252483,1031,5241251
"22","KWALE",147426,76170,303,1497948
"23","LAIKIPIA",130298,62876,258,1283645
"24","LAMU",36672,17758,67,364917
"25","MACHAKOS",390542,197909,783,3944558
"26","MAKUENI",476919,244283,937,4610488
"27","MANDERA",40011,16359,94,489252
"28","MARSABIT",54780,28179,111,542500
"29","MERU",357461,172999,717,3554186
"30","MIGORI",291519,145489,597,3012310
"31","MOMBASA",50821,23069,108,495466
"32","MURANG'A",266830,132789,548,2788896
"33","NAIROBI",131028,64626,261,1308270
"34","NAKURU",298734,155719,588,2874666
"35","NANDI",320403,166382,609,3110557
"36","NAROK",245511,120720,494,2392060
"37","NYAMIRA",207680,106454,432,2051813
"38","NYANDARUA",145628,75087,303,NA
"39","NYERI",186197,93952,385,1896237
"40","SAMBURU",63707,32211,127,601384
"41","SIAYA",311788,156368,605,2982640
"42","TAITA TAVETA",100001,53331,196,880056
"43","TANA RIVER",72958,35680,150,720901
"44","THARAKA - NITHI",185497,85464,375,1881560
"45","TRANS NZOIA",134472,66376,256,1176113
"46","TURKANA",84986,42520,168,812967
"47","UASIN GISHU",196637,94172,388,1936973
"48","VIHIGA",172170,86920,362,1777117
"49","WAJIR",47901,25543,104,583254
"50","WEST POKOT",138494,72826,265,1284536
