TOWN,wanted,POINT_X,POINT_Y,NOFBI_Stru
Lugare,0,34.014913605,0.0893989705646,
Port Victoria,0,33.9979727069,0.162314065764,
Sio Port,0,34.0285166021,0.236684461248,
Karungu,0,34.162721402,-0.832784139966,
Got Kachola,0,34.1404284517,-0.93937732186,
Magunga,0,34.1566711994,-0.68308942043,
Sindo,0,34.1713391806,-0.529491329565,
Busonga,0,34.0910873383,0.12106073897,
Muhuru,0,34.1048819852,-1.00763911613,
Macalder Mines,0,34.2975356216,-0.962115002993,
Aora,0,34.2387561563,-0.785400007664,
Wath Ong'er,0,34.2125798921,-0.941231765874,
Mbita,0,34.2055163348,-0.402479108607,
Luanda,0,34.291290539,-0.464132412975,
Luanda Kotieno,0,34.3002352149,-0.376962482799,
Ndingwa,0,34.3283724954,-0.321748851335,
Manywanda,0,34.2795161928,-0.238083320815,
Owimbi,0,34.3264741771,-0.218142851422,
Bondo,0,34.2741457958,-0.0854014466944,
Siaya,0,34.2948778441,0.0707484194677,County Headquaters
Ambira,0,34.3301501955,0.166935975423,
Masara,0,34.3122402786,-1.01683840294,
Kadem,0,34.2169009484,-1.00684196263,
Ukwala,0,34.1930253314,0.208509684966,
Nangina,0,34.0982339317,0.288450966557,
Matayos,0,34.168009586,0.372371685957,
Busia,0,34.1048364322,0.468390133789,County Headquaters
Mbwekas,0,34.1472006358,0.454385783036,
Ambila,0,34.2939250203,0.193905735916,
Bumala,0,34.2082648296,0.317627248987,
Butula,0,34.337880657,0.353484730624,
Sega,0,34.2321370299,0.264397124946,
Khawirale,0,34.2227531945,0.496368625404,
Nambale,0,34.2508564211,0.460061772957,
Mungatsi,0,34.3167047437,0.485074604239,
Machakusi,0,34.2384098186,0.61785868151,
Amukura,0,34.2763194821,0.58325598335,
Malaba,0,34.2789116775,0.648629296322,TLK (OFC Terminals)
Rapogi,0,34.4781135342,-0.898453608934,
Kagaga,0,34.4102184027,-0.816627331991,
Ndhiwa,0,34.3737569606,-0.721325385543,
Mirogi,0,34.4038855963,-0.6986662702,
Lambwe,0,34.3754520147,-0.562660298175,
Ogongo,0,34.3984481688,-0.578669754744,
Kabuadi,0,34.4794208188,-0.56919433983,
Homa Bay,0,34.4622876411,-0.513429025,County Headquaters
Ndori,0,34.3808793211,-0.0591790380488,
Asembo,0,34.3918165148,-0.169580044922,
Akala,0,34.4374392185,-0.0486876578301,
Kagilo,0,34.4400536948,0.0680652523343,
Ng'iya,0,34.373007665,0.0588236425065,
Kodiaga,0,34.459260032,0.12433900706,
Sidindi,0,34.3836046678,0.170072404571,
Migori,0,34.4629758639,-1.05919980222,County Headquaters
Icebania,0,34.4682007237,-1.23155429626,
Awendo,0,34.5368803761,-0.894446671045,
Ranen,0,34.5667619287,-0.845144050263,
Nyangweta,0,34.6410767955,-0.838119723283,
Rongo,0,34.6045947565,-0.743500791143,
Kamagambo,0,34.6280247695,-0.721853922154,
Rodi Kopany,0,34.5042671374,-0.610213793291,
Imbo,0,34.5372391645,-0.5845231738,
Rangwe,0,34.5851771798,-0.587373836825,
Olare,0,34.5316731252,-0.48777503494,
Kandiege,0,34.5501446972,-0.413913175097,
Wagwe,0,34.5634808569,-0.343978323817,
Oriang,0,34.6303765668,-0.38040312155,
Kombewa,0,34.5135908293,-0.0823259289432,
Maseno,0,34.6019055457,0.000926714545482,
Luanda,0,34.5834531447,0.0456389184566,
Yala,0,34.5348741636,0.107152570338,
Yani,0,34.5707579732,-1.03189749756,
Kehancha,0,34.6147515996,-1.16320193375,
Taranganya,0,34.5861865226,-1.22997368939,
Buhuyi,0,34.4080741339,0.380169444982,
Myanga,0,34.3924156776,0.578272969655,
Mayanja,0,34.4311060444,0.684651528915,
Omudeke,0,34.3616588165,0.704857453547,
Kakameri,0,34.3909077992,0.759452147599,
Wamono,0,34.438063286,0.803926675292,
Chelebei,0,34.5591656322,0.82195757466,
Sirisia,0,34.5160995873,0.78037568848,
Chwele,0,34.5741541136,0.746606602064,
Kuywa,0,34.6399663668,0.760718855233,
Sikusi,0,34.5535663034,0.705990707213,
Mayanja,0,34.5142883556,0.660698893691,
Kibabii,0,34.5235614803,0.632348920546,
Bungoma,0,34.5534026055,0.570523293035,
Khachonge,0,34.6211124734,0.696174389892,
Bukura,0,34.6190101914,0.233751589276,
Lunza,0,34.5499151849,0.248013939976,
Khwishero,0,34.5970356862,0.184132379486,
Shianda,0,34.5707154712,0.332665580326,
Kabula,0,34.5153791721,0.469072698849,
Kisii,0,34.7829307601,-0.664987888667,County Headquaters
Itumbe,0,34.7792522534,-0.739869880884,
Ogembo,0,34.7284740604,-0.784891321368,
Oyugis,0,34.7307129147,-0.496862851446,
Kendu Bay,0,34.6491780908,-0.346996107887,
Mawego,0,34.7735341017,-0.382234998434,
Majengo,0,34.7226636789,0.0628007143159,
Kiboswa,0,34.7443519864,-0.00506966273309,
Kisumu,0,34.7698767256,-0.081128197974,County Headquaters
Chavakali,0,34.7324745357,0.130896408029,
Sabatia,0,34.7886295213,0.135217104362,
Nyamache,0,34.828818703,-0.846143514296,
Nyangusu,0,34.8533033798,-0.919017164362,
Kiamokama,0,34.8898686462,-0.813387010452,
Kegati,0,34.8175790051,-0.689926334398,
Tombe,0,34.8801196491,-0.638593972753,
Igare,0,34.8085252884,-0.787936720975,
Magombo,0,34.9249231921,-0.665106698488,
Keumbu,0,34.8505490069,-0.716007168794,
Marani,0,34.8036930641,-0.574846100248,
Kusa,0,34.8542436125,-0.301350354881,
Paponditi,0,34.9408697708,-0.288044255665,
Kabondo,0,34.8861451883,-0.438297405171,
Ahero,0,34.9226291509,-0.156472051771,
Nyamanya,0,34.9098040663,-0.507963188016,
Kibos,0,34.8108405835,-0.0575015989125,
Kaimosi,0,34.8492921665,0.138087388039,
Kilgoris,0,34.876582504,-1.00996229258,
Kapsakwony,0,34.7094718858,0.855590185999,
Kimilili,0,34.7115139051,0.79948592483,
Chesamisi,0,34.7927482331,0.845169686103,
Misikshu,0,34.7504418004,0.728121203678,
Webuye,0,34.7650015479,0.619013994609,TLK (OFC Terminals)
Matsi,0,34.6891549746,0.635477342107,
Bokoli,0,34.6560529058,0.724954275225,
Miendo,0,34.6842321406,0.678832531758,
Khayega,0,34.7713388757,0.213608453335,
Kakamega,0,34.7503148837,0.2912159837,County Headquaters
Musoli,0,34.6641614708,0.215504233712,
Butsotso,0,34.696233187,0.370605471538,
Ingotse,0,34.7226472434,0.352164275573,
Nambacha,0,34.666700877,0.400989794735,
Chebuyusa,0,34.6566511479,0.431571376214,
Endebes,0,34.8658927339,1.08488467189,
Kanyankwat,0,34.9235346584,1.27370770083,
Kiminini,0,34.9253288579,0.908539755868,
Saboti,0,34.8418879131,0.955633926385,
Lugari,0,34.8709621224,0.663455616827,
Vihiga,0,34.9449975093,0.303669789643,County Headquaters
Shinyalu,0,34.8175076395,0.241766501343,
Lubao,0,34.8110960353,0.349317442193,
Mwanza,0,34.8518487547,0.39462319884,
Malava,0,34.8541989708,0.458994102427,
Keroka,0,34.9524480428,-0.75932384665,
Sondu,0,35.0150263345,-0.373327180988,
Kabeneti,0,35.0798793801,-0.431696662201,
Chebilat,0,35.0884943356,-0.672468891597,
Menyenya,0,35.0155688596,-0.744524888387,
Miwani,0,34.9836129909,-0.0488920496942,
Chemase,0,35.0522453722,-0.0212413920426,
Kobujoi,0,34.9823417381,0.0730411173325,
Ikonge,0,34.9975476414,-0.515983845596,
Kaptumo,0,35.0752639986,0.084562919866,
Litein,0,35.1981581998,-0.570201785937,
Kabianga,0,35.1406927971,-0.429350148419,
Sosiot,0,35.181449519,-0.343407686203,
Siongiroi,0,35.2171514158,-0.891146721544,
Ndanai,0,35.1022845242,-0.826539456938,
Kapketet,0,35.1350162544,-0.776303617197,
Chebole,0,35.2197873064,-0.730416128902,
Sotik,0,35.1247423969,-0.670880698666,
Kapkatek,0,35.2002125562,-0.614243699753,
Nandi Hills,0,35.1910888677,0.122320627218,
Songhor,0,35.2194650934,-0.0381923238295,
Muhoroni,0,35.1897178342,-0.129759301138,TLK (OFC Terminals)
Chemilil,0,35.1270569333,-0.0832943662327,
Roret,0,35.1119223569,-0.493790218054,
Keekorok Lodge,0,35.2327832893,-1.5706672034,
Keringe,0,35.0617276792,1.22751203762,
Kitale,0,35.0199054268,1.03315618761,County Headquaters
Kipsain,0,35.0893325993,1.10617406411,
Kacheliba,0,35.0223698067,1.49037582532,
Kunyuo,0,35.0633159665,1.80510212597,
Ndalu,0,34.9948025541,0.851601096917,
Turbo,0,35.0491877545,0.654861220595,
Kapkangani,0,34.9527779961,0.201999505295,
Chekopegh,0,35.2406606816,1.47429324264,
Chepareria,0,35.2250785865,1.32548593406,
Makutano,0,35.1078317329,1.27337748191,
Cherangani,0,35.2203760482,0.997387711749,
Moi's Bridge,0,35.1209518957,0.898448762162,
Soy,0,35.1597038867,0.690356357476,
Kaigat,0,35.112006845,0.53440649662,
Kapsabet,0,35.1106668924,0.221728773725,County Headquaters
Arwos,0,35.2057635772,0.224945748373,
Chepterit,0,35.1611819474,0.336691591918,
Kericho,0,35.2897875516,-0.353571784467,County Headquaters
Sigor,0,35.3058845807,-0.905580986967,
Bomet,0,35.350992397,-0.769320681942,County Headquaters
Silibwet,0,35.3514887906,-0.706991078035,
Ndaraweta,0,35.3782755426,-0.656836045074,
Tenwet,0,35.3564933769,-0.729490852687,
Mtetei,0,35.3132246583,0.0203785419961,
Ainamoi,0,35.2768452682,-0.287353035931,
Fort Tenan,0,35.3513891216,-0.184095047208,
Chepsoen,0,35.4423550931,-0.2595031616,
Kipkelion,0,35.4662275116,-0.176269638802,
Longisa,0,35.4002807289,-0.842789137923,
Mulot,0,35.4290051198,-0.913096011015,
Nabkoi,0,35.4753288103,0.156662141902,
Ngorengore,0,35.4898345929,-1.03723613225,
Kapcherop,0,35.3436462197,1.05087727288,
Chepunyal,0,35.3033564775,1.61965014256,
Chebit,0,35.3527872307,1.41473525702,
Ptoyo,0,35.2559833247,1.67084967062,
Moiben,0,35.3866474801,0.835940066761,
Cheborowa,0,35.3921786527,0.9616321922,
Chepkoilel,0,35.3696276004,0.537715749078,
Eldoret,0,35.2775398958,0.534556526411,County Headquaters
Lessos,0,35.3098383916,0.228254031156,
Kesses,0,35.3322147979,0.31075126434,
Kainuk,0,35.5234756202,1.78879925856,
Sigor,0,35.48908311,1.5021554128,
Ainabkoi,0,35.5311442754,0.1816207652,
Tambach,0,35.5289958398,0.607006956086,
Iten,0,35.5124554912,0.68984582064,County Headquaters
Burnt Forest,0,35.4408825172,0.229593999054,
Morijo,0,35.8115566539,-1.69541083491,
Kedowa,0,35.5664065411,-0.204763823851,
Londiani,0,35.6003002045,-0.146967472773,TLK (OFC Terminals)
Songor,0,35.5467069076,-0.809693999495,
Chebakundi,0,35.6730426591,-0.641957250571,
Mau Summit,0,35.684515878,-0.153237779903,TLK (OFC Terminals)
Makutano,0,35.6436901289,-0.0445080052469,
Timboroa,0,35.5471210017,0.0845776790246,
Olulunga,0,35.6447695624,-1.00995990819,
Naikara,0,35.6538296148,-1.60314034563,
Shabaltaragwa,0,35.8061115744,-0.53132027497,
Olenguruone,0,35.7048983664,-0.566841543078,
Elburgon,2,35.8251386529,-0.281572103734,
Molo,0,35.7392470768,-0.23015758622,
Saos,2,35.8319377403,0.126400039842,
Eldama Ravine,0,35.736758953,0.0641132681449,
Ewaso Ngiro,0,35.7542619272,-1.14526244967,
Chesoi,0,35.6116235605,1.0769556972,
Tot,0,35.6736372082,1.22139858282,
Lolongot,0,35.6468248257,1.74908378932,
Kamwoso,0,35.577180372,0.219479784662,
Kipsaos,0,35.6298781209,0.191606849787,
Nyaru,0,35.5796985216,0.34590707819,
Kimwarer,0,35.6381699313,0.339021777462,
Kabluk,0,35.6729624983,0.585998934873,
Kapsowar,0,35.5670312317,1.00068809836,
Kolowa,0,35.7750270253,1.24288647735,
Tenges,0,35.8105638083,0.319087413601,
Kabarnet,0,35.7600286673,0.50547453308,County Headquaters
Kabartonjo,0,35.8002610252,0.659025132655,
Kipsoramon,2,35.8375352414,0.751339237855,
Kinyach,0,35.6955433615,0.9503233749,
Ngareta,2,35.8411848714,-0.901818005035,
Enangiperi,2,35.918079993,-0.664765032309,
Njoro,0,35.9452373943,-0.3124291178,
Kampi Ya Moto,0,35.9475359576,-0.107102688351,
Rongai,2,35.8694375551,-0.154272094286,
