School_Name,Status of School,County,Lat,Lon,DevicesExpected,DevicesDelivered,DeliveredMonth,Power_Connection,Class one enrollment,,,,,,,,
VOO SPECIAL UNIT,PUBLIC,KITUI,-1.66668,38.32132,446,122,FEBRUARY,NO,9856,,,,,,,,
MASAANTARE PRI,PUBLIC,NAROK,-1.012145,35.648155,21,6,OCTOBER,Solar,5965,,,,,,,,
NGOCHONI PRY SCH,PUBLIC,MIGORI,-1.159798,34.394076,315,269,MARCH,Solar,2618,,,,,,,,
LWANDA PRI SCH,PUBLIC,HOMA BAY,-0.42783,34.92995,990,516,APRIL,Solar,7101,,,,,,,,
KAKIIMBA PRI,PUBLIC,HOMA BAY,-0.44106,34.04156,969,400,APRIL,Solar,4222,,,,,,,,
MAROMA DEB PRI,PUBLIC,KISII,-0.550568,34.775684,668,382,SEPTEMBER,KPLC,152,,,,,,,,
HOLALE PRI,PUBLIC,MARSABIT,3.496333,39.057534,53,17,JULY,KPLC,1475,,,,,,,,
KAISUGU PRI SCH,PUBLIC,KERICHO,-0.31249,35.3837,261,112,SEPTEMBER,Solar,3338,,,,,,,,
GIVOGI PRY SCH,PUBLIC,VIHIGA,0.04837,34.82102,728,68,OCTOBER,Solar,9344,,,,,,,,
MTSARAWATSATSU PRI,PUBLIC,KILIFI,-3.543344,39.573389,376,272,JANUARY,KPLC,3114,,,,,,,,
EMBU URBAN PRI SCH,PUBLIC,EMBU,-0.531597,37.452046,805,447,JULY,NO,9438,,,,,,,,
LENGINA PRI SCH,PUBLIC,NAROK,-1.09946,35.69851,83,19,JULY,NO,3087,,,,,,,,
AMUNJU PRY SCH,PUBLIC,MERU,0.158867777,37.94211167,912,401,JULY,KPLC,5409,,,,,,,,
AIC TENAI PRI,PUBLIC,UASIN GISHU,0.904486,35.129674,931,824,APRIL,KPLC,1519,,,,,,,,
RABAI ROAD PRI SCH,PUBLIC,NAIROBI,-1.286176,36.872801,770,494,JANUARY,KPLC,7486,,,,,,,,
SHILOH NAIBOR PRY SCH,PUBLIC,LAIKIPIA,0.168981,37.019143,260,65,OCTOBER,NO,2578,,,,,,,,
UMANDE PRY SCH,PUBLIC,LAIKIPIA,0.090045,37.173894,873,551,OCTOBER,KPLC,2670,,,,,,,,
KAKRAO PRI,PUBLIC,MIGORI,-1.027611,34.480889,382,332,APRIL,KPLC,1822,,,,,,,,
KISYANI PRIMARY,PUBLIC,MACHAKOS,-1.63967,37.35513,697,21,JULY,NO,3950,,,,,,,,
BAHATI PRI SCH,PUBLIC,KILIFI,-0.409501,36.407897,204,166,MARCH,NO,4856,,,,,,,,
MASALALE PRI SCH,PUBLIC,WAJIR,2.55085,39.59567,643,12,JANUARY,Solar,8649,,,,,,,,
TITILA PRIMARY,PUBLIC,TANA RIVER,-1.534817,39.206081,439,436,NOVEMBER,KPLC,8614,,,,,,,,
SALAMA PRI SCH,PUBLIC,NAIROBI,-1.257462,36.870696,97,55,JANUARY,Solar,7697,,,,,,,,
MATUTO PRI SCH,PUBLIC,NYERI,-0.566169,37.113041,479,232,SEPTEMBER,NO,1528,,,,,,,,
KAMWELENI PRIMARY,PUBLIC,MACHAKOS,-1.551073,37.325759,576,224,APRIL,KPLC,8727,,,,,,,,
NJII-ITHATU PRI SCH,PUBLIC,MURANG'A,-0.684405,37.073616,81,31,APRIL,Solar,929,,,,,,,,
MIYANI PRI,PUBLIC,KILIFI,-3.760874,39.498626,827,285,AUGUST,Solar,9157,,,,,,,,
NDONGORO PRIMARY,PUBLIC,KIAMBU,-1.23269,36.71458,702,250,NOVEMBER,Solar,5292,,,,,,,,
CHINCHE DEB PRI,PUBLIC,NYAMIRA,-0.56896,34.95758,505,177,JULY,NO,4981,,,,,,,,
KIMANGARU PRI SCH,PUBLIC,EMBU,-0.543392,37.526172,314,51,APRIL,NO,4594,,,,,,,,
ONGORO PRY SCH,PUBLIC,HOMA BAY,-0.494614,34.519586,752,176,FEBRUARY,KPLC,2401,,,,,,,,
KILALAI PRY SCH,PUBLIC,MERU,0.234554166,37.95183833,342,163,FEBRUARY,Solar,2643,,,,,,,,
